,rank,id,artist,song,year,query,searcher,clean_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0,1,1,Kesha,Tik Tok,2010,Kesha,Kesha Tik Tok,Kesha,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,3.3282166666666666,4
1,2,2,Lady Antebellum,Need You Now,2010,Lady Antebellum,Lady Antebellum Need You Now,Lady A,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,4.626216666666667,4
2,3,3,Train,"Hey, Soul Sister",2010,Train,"Train Hey, Soul Sister",Train,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,3.6128833333333334,4
3,4,4,Katy Perry featuring Snoop Dogg,California Gurls,2010,Katy Perry,Katy Perry California Gurls,Katy Perry,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,3.9108833333333335,4
3,4,4,Katy Perry featuring Snoop Dogg,California Gurls,2010,Katy Perry,Katy Perry California Gurls,Snoop Dogg,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,3.9108833333333335,4
4,5,5,Usher featuring will.i.am,OMG,2010,Usher featuring,Usher  OMG,Usher,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4.49155,4
4,5,5,Usher featuring will.i.am,OMG,2010,Usher featuring,Usher  OMG,will.i.am,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4.49155,4
5,6,6,B.o.B featuring Hayley Williams,Airplanes,2010,B.o.B featuring,B.o.B  Airplanes,B.o.B,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,3.008,4
5,6,6,B.o.B featuring Hayley Williams,Airplanes,2010,B.o.B featuring,B.o.B  Airplanes,Hayley Williams,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,3.008,4
6,7,7,Eminem featuring Rihanna,Love the Way You Lie,2010,Eminem featuring,Eminem  Love the Way You Lie,Eminem,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4.38955,4
6,7,7,Eminem featuring Rihanna,Love the Way You Lie,2010,Eminem featuring,Eminem  Love the Way You Lie,Rihanna,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4.38955,4
7,8,8,Lady Gaga,Bad Romance,2010,Lady Gaga,Lady Gaga Bad Romance,Lady Gaga,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.90955,4
8,9,9,Taio Cruz,Dynamite,2010,Taio Cruz,Taio Cruz Dynamite,Taio Cruz,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,3.3977833333333334,4
9,10,10,Taio Cruz featuring Ludacris,Break Your Heart,2010,Taio Cruz,Taio Cruz Break Your Heart,Taio Cruz,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,3.10445,4
9,10,10,Taio Cruz featuring Ludacris,Break Your Heart,2010,Taio Cruz,Taio Cruz Break Your Heart,Ludacris,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,3.10445,4
10,11,11,B.o.B featuring Bruno Mars,Nothin' on You,2010,B.o.B featuring,B.o.B  Nothin' on You,B.o.B,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,4.472,4
10,11,11,B.o.B featuring Bruno Mars,Nothin' on You,2010,B.o.B featuring,B.o.B  Nothin' on You,Bruno Mars,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,4.472,4
11,12,12,Enrique Iglesias featuring Pitbull,I Like It,2010,Enrique Iglesias,Enrique Iglesias I Like It,Enrique Iglesias,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,3.8631166666666665,4
11,12,12,Enrique Iglesias featuring Pitbull,I Like It,2010,Enrique Iglesias,Enrique Iglesias I Like It,Pitbull,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,3.8631166666666665,4
12,13,13,Young Money featuring Lloyd,BedRock,2010,Young Money,Young Money BedRock,Young Money,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,4.802216666666666,4
12,13,13,Young Money featuring Lloyd,BedRock,2010,Young Money,Young Money BedRock,Lloyd,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,4.802216666666666,4
13,14,14,Jason Derulo,In My Head,2010,Jason Derulo,Jason Derulo In My Head,Jason Derulo,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,3.3171166666666667,4
14,15,15,Rihanna,Rude Boy,2010,Rihanna,Rihanna Rude Boy,Rihanna,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,3.715333333333333,4
15,16,16,Lady Gaga featuring Beyoncé,Telephone,2010,Lady Gaga,Lady Gaga Telephone,Lady Gaga,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,3.6771166666666666,4
15,16,16,Lady Gaga featuring Beyoncé,Telephone,2010,Lady Gaga,Lady Gaga Telephone,Beyoncé,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,3.6771166666666666,4
16,17,17,Katy Perry,Teenage Dream,2010,Katy Perry,Katy Perry Teenage Dream,Katy Perry,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,3.7956833333333333,4
17,18,18,Bruno Mars,Just the Way You Are,2010,Bruno Mars,Bruno Mars Just the Way You Are,Bruno Mars,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012,3.6788833333333333,4
18,19,19,Mike Posner,Cooler Than Me,2010,Mike Posner,Mike Posner Cooler Than Me,Mike Posner,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969,3.554883333333333,4
18,19,19,Mike Posner,Cooler Than Me,2010,Mike Posner,Mike Posner Cooler Than Me,Gigamesh,0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.704,0.625,129.969,3.554883333333333,4
19,20,20,The Black Eyed Peas,Imma Be,2010,The Black,The Black Imma Be,Black Eyed Peas,0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035,4.292666666666666,4
20,21,21,Jay-Z featuring Alicia Keys,Empire State of Mind,2010,Jay-Z featuring,Jay-Z  Empire State of Mind,JAY-Z,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,4.615333333333333,4
20,21,21,Jay-Z featuring Alicia Keys,Empire State of Mind,2010,Jay-Z featuring,Jay-Z  Empire State of Mind,Alicia Keys,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,4.615333333333333,4
21,22,22,Usher featuring Pitbull,DJ Got Us Fallin' in Love,2010,Usher featuring,Usher  DJ Got Us Fallin' in Love,Usher,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,3.68,4
21,22,22,Usher featuring Pitbull,DJ Got Us Fallin' in Love,2010,Usher featuring,Usher  DJ Got Us Fallin' in Love,Pitbull,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,3.68,4
22,23,23,Travie McCoy featuring Bruno Mars,Billionaire,2010,Travie McCoy,Travie McCoy Billionaire,Travie McCoy,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,3.5193333333333334,4
22,23,23,Travie McCoy featuring Bruno Mars,Billionaire,2010,Travie McCoy,Travie McCoy Billionaire,Bruno Mars,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,3.5193333333333334,4
23,24,24,Eminem,Not Afraid,2010,Eminem,Eminem Not Afraid,Eminem,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,4.13555,5
24,25,25,Iyaz,Replay,2010,Iyaz,Iyaz Replay,Iyaz,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,3.03845,4
25,26,26,David Guetta featuring Akon,Sexy Bitch,2010,David Guetta,David Guetta Sexy Bitch,David Guetta,0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130.011,3.2642166666666665,4
25,26,26,David Guetta featuring Akon,Sexy Bitch,2010,David Guetta,David Guetta Sexy Bitch,Akon,0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130.011,3.2642166666666665,4
26,27,27,The Script,Breakeven,2010,The Script,The Script Breakeven,The Script,0.63,0.698,10,-4.51,1,0.0244,0.173,0.0,0.0789,0.529,94.023,4.357116666666666,4
27,28,28,Kesha,Your Love Is My Drug,2010,Kesha,Kesha Your Love Is My Drug,Kesha,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,3.1188833333333332,4
28,29,29,The Black Eyed Peas,I Gotta Feeling,2010,The Black,The Black I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4.818883333333333,4
29,30,30,Owl City,Fireflies,2010,Owl City,Owl City Fireflies,Owl City,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,3.8057833333333333,4
30,31,31,Trey Songz featuring Fabolous,Say Aah,2010,Trey Songz,Trey Songz Say Aah,Trey Songz,0.724,0.87,1,-3.614,0,0.113,0.00453,0.0,0.833,0.81,93.01,3.4591166666666666,4
30,31,31,Trey Songz featuring Fabolous,Say Aah,2010,Trey Songz,Trey Songz Say Aah,Fabolous,0.724,0.87,1,-3.614,0,0.113,0.00453,0.0,0.833,0.81,93.01,3.4591166666666666,4
31,32,32,Drake,Find Your Love,2010,Drake,Drake Find Your Love,Drake,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038,3.48245,4
32,33,33,Lady Gaga,Alejandro,2010,Lady Gaga,Lady Gaga Alejandro,Lady Gaga,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,4.570216666666667,4
33,34,34,Jason Derulo,Ridin' Solo,2010,Jason Derulo,Jason Derulo Ridin' Solo,Jason Derulo,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,3.5957833333333333,4
34,35,35,Nelly,Just a Dream,2010,Nelly,Nelly Just a Dream,Nelly,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917,3.9633333333333334,4
35,36,36,Ludacris,How Low,2010,Ludacris,Ludacris How Low,Ludacris,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23e-06,0.224,0.418,143.96,3.359783333333333,4
36,37,37,Far East Movement featuring The Cataracs and Dev,Like a G6,2010,Far East,Far East Like a G6,Far East Movement,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,3.6148833333333332,4
36,37,37,Far East Movement featuring The Cataracs and Dev,Like a G6,2010,Far East,Far East Like a G6,The Cataracs,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,3.6148833333333332,4
36,37,37,Far East Movement featuring The Cataracs and Dev,Like a G6,2010,Far East,Far East Like a G6,DEV,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,3.6148833333333332,4
37,38,38,Timbaland featuring Justin Timberlake,Carry Out,2010,Timbaland featuring,Timbaland  Carry Out,Timbaland,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,3.87445,5
37,38,38,Timbaland featuring Justin Timberlake,Carry Out,2010,Timbaland featuring,Timbaland  Carry Out,Justin Timberlake,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,3.87445,5
38,39,39,Michael Bublé,Haven't Met You Yet,2010,Michael Bublé,Michael Bublé Haven't Met You Yet,Michael Bublé,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,4.07645,4
39,40,40,Flo Rida featuring David Guetta,Club Can't Handle Me,2010,Flo Rida,Flo Rida Club Can't Handle Me,Flo Rida,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,3.9093333333333335,4
40,41,41,Jay Sean featuring Lil Wayne,Down,2010,Jay Sean,Jay Sean Down,Jay Sean,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,3.5351166666666667,4
40,41,41,Jay Sean featuring Lil Wayne,Down,2010,Jay Sean,Jay Sean Down,Lil Wayne,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,3.5351166666666667,4
41,42,42,La Roux,Bulletproof,2010,La Roux,La Roux Bulletproof,La Roux,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,3.4288833333333333,4
42,43,43,Jason Derulo,Whatcha Say,2010,Jason Derulo,Jason Derulo Whatcha Say,Jason Derulo,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,3.68755,4
